Nº;Fecha_corte;Sede;Area;Sub_Area;PC_ID;PC_Inventario;PC_Nombre;PC_Marca;PC_Modelo;PC_Procesador;PC_Grafica;PC_RAM;PC_SSD;PC_HDD;PC_Licencia;Monitor_Inventario;Monitor_Serie;Teclado_Inventario;Teclado_Serie
1;21/07/2022;Palacio 1P;GERENCIA DE ADMINISTRACIÓN TRIBUTARIA;GERENCIA DE ADMINISTRACIÓN TRIBUTARIA;10M8S02700;99;DESKTOP-1RUUD1S;Lenovo;ThinkCentre;Core i3-7100;NO;4GB;NULL;1TB;SI;97;215LM00041;98;1066048
2;21/07/2022;Palacio 1P;GERENCIA DE ADMINISTRACIÓN TRIBUTARIA;GERENCIA DE ADMINISTRACIÓN TRIBUTARIA;MJ06BK5F;476;GAT-01;Lenovo;M910S;Core i5-7500;NO;8GB;NULL;1TB;SI;474;0ASTHCNRA01821;475;7424722
3;21/07/2022;Palacio 1P;GERENCIA DE ADMINISTRACIÓN TRIBUTARIA;GERENCIA DE ADMINISTRACIÓN TRIBUTARIA;GD150247740031;214;Plataforma;Advance;VS6175;Core i5-4460;NO;4GB;NULL;1TB;NO;216;ADVAN14V0400557;213;NULL
4;21/07/2022;Palacio 1P;GERENCIA DE ADMINISTRACIÓN TRIBUTARIA;GERENCIA DE ADMINISTRACIÓN TRIBUTARIA;NULL;NULL;DESKTOP-8RBCT79;Halion;Generico;Core i5-9400F;si;4GB;NULL;500GB;NO;210;ADVAN14V0400049;211;XED807013122
5;21/07/2022;Palacio 1P;GERENCIA DE ADMINISTRACIÓN TRIBUTARIA;GERENCIA DE ADMINISTRACIÓN TRIBUTARIA;436QTI5GX4042264;220;Plataforma;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;217;VS13818;219;QTMK1210379
6;21/07/2022;Palacio 1P;SUB GERENCIA DE CONTABILIDAD;SUB GERENCIA DE CONTABILIDAD;NULL;647;DESKTOP-94HP8LA;Dell;OptiPlex 7060;Core i7-8700;NO;8GB;NULL;1TB;SI;643;8G635D2;648;882-08TJ-A03
7;21/07/2022;Palacio 1P;SUB GERENCIA DE CONTABILIDAD;SUB GERENCIA DE CONTABILIDAD;NULL;656;Conta-02;Advance;Generico;Core i5-4440;NO;8GB;NULL;1TB;NO;652;ADVAN14V04000642;654;65815703168
8;21/07/2022;Palacio 1P;SUB GERENCIA DE CONTABILIDAD;SUB GERENCIA DE CONTABILIDAD;NULL;635;Conta-03;Halion;Generico;Core i5-9400F;si;4GB;NULL;1TB;No;632;212NDLSA4920;1036;67P-1JZF-A03
9;21/07/2022;Palacio 1P;SUB GERENCIA DE CONTABILIDAD;SUB GERENCIA DE CONTABILIDAD;NULL;NULL;Conta-04;Halion;Generico;Core i3-8100;NO;8GB;250GB;NULL;NO;692;ADVAN15H0300027;876;882-08UW-A03
10;21/07/2022;Palacio 2P;ALCALDÍA;ALCALDÍA;LAPTOP;301;DESKTOP-VH2VAT6;HP;OMEN;Core i7-10750H;SI;16GB;500GB;NULL;SI;NULL;NULL;NULL;NULL
11;21/07/2022;Palacio 2P;GERENCIA DE PLANEAMIENTO Y PRESUPUESTO;GERENCIA DE PLANEAMIENTO Y PRESUPUESTO;436QTI5GX4042246;815;Presupuesto-1;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;813;0ASTHCNRA01496;814;QTMK1210461
12;21/07/2022;Palacio 2P;GERENCIA DE PLANEAMIENTO Y PRESUPUESTO;GERENCIA DE PLANEAMIENTO Y PRESUPUESTO;436QTI5GX4042240;513;Presupuesto-2;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;515;0ASTHCNRA01337;514;QTMK1210470
13;21/07/2022;Palacio 2P;GERENCIA DE PLANEAMIENTO Y PRESUPUESTO;GERENCIA DE PLANEAMIENTO Y PRESUPUESTO;MJ06KEY4;822;Presupuesto-3;Lenovo;ThinkCentre;Core i5-7500;NO;8GB;NULL;1TB;SI;508;AQCHC1A000764;823;65814782496
14;21/07/2022;Palacio 2P;GERENCIA DE PLANEAMIENTO Y PRESUPUESTO;GERENCIA DE PLANEAMIENTO Y PRESUPUESTO;NULL;519;Presupuesto-4;Lenovo;ThinkCentre;Core i3-7100;NO;8GB;NULL;1TB;SI;517;NULL;827;266363
15;21/07/2022;Palacio 2P;GERENCIA MUNICIPAL;GERENCIA MUNICIPAL;436QTI5GX4042219;802;GM-02;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;800;0ASTHCNRA01863;801;QTMK1210378
16;21/07/2022;Palacio 2P;GERENCIA MUNICIPAL;GERENCIA MUNICIPAL;436QTI5GX4042225;NULL;GM-01;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;NULL;0ASTHCNRA01813;NULL;QTMK1210360
17;21/07/2022;Palacio 2P;GERENCIA MUNICIPAL;GERENCIA MUNICIPAL;NULL;808;GM-03;Halion;Generico;Core i5-9400F;si;4GB;240GB;1TB;SI;806;9X7X2D2;807;NULL
18;21/07/2022;Palacio 2P;GERENCIA MUNICIPAL;GERENCIA MUNICIPAL;NULL;1193;GM-04;Halion;Generico;Core i3-8100;NO;4GB;NULL;500 GB;NO;1191;DYOC5HA028456;INV.2020-01483;65814920801
19;21/07/2022;Palacio 2P;SECRETARIA GENERAL;SECRETARIA GENERAL;NULL;848;SG-01;Teros;Generico;Core i5-4460;NO;4GB;NULL;500GB;NO;847;ADVAN14V0401303;851;20118730
20;21/07/2022;Palacio 2P;SECRETARIA GENERAL;SECRETARIA GENERAL;NULL;543;SG-02;Halion;Generico;Core i3-8100;NO;4GB;NULL;500GB;NO;542;ADVAN14V0400635;INV.2020-0409;66903388260
21;21/07/2022;Palacio 3P;SECRETARIA GENERAL;IMAGEN;436QTI5GX4042220;897;IMAGEN-01;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;896;0ASTHCNRA01380;898;QTMK1210358
22;21/07/2022;Palacio 3P;SECRETARIA GENERAL;IMAGEN;NULL;903;IMAGEN-02;Halion;Generico;Core i5-9400F;si;8GB;240GB;1TB;SI;'000583;NULL;904;NULL
23;21/07/2022;Palacio 3P;SECRETARIA GENERAL;IMAGEN;NULL;892;IMAGEN-03;thermaltake;Generico;Core i7-9700;NO;16GB;250GB;1TB;SI;893;NULL;894;NULL
24;21/07/2022;Palacio 3P;SECRETARIA GENERAL;IMAGEN;412QTI3GX1011206;NULL;IMAGEN-4;Quitech;GX 120;Core i3-10100;NO;8GB;250GB;1TB;SI;NULL;0ASTHCNRA00686;NULL;QTMK1210515
25;21/07/2022;Palacio 3P;GERENCIA DE ADMINISTRACIÓN Y FINANZAS;GERENCIA DE ADMINISTRACIÓN Y FINANZAS;436QTI5GX4042267;1079;Admin-03;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;1072;ADVAN14V0400965;1080;QTMK1210465
26;21/07/2022;Palacio 3P;GERENCIA DE ADMINISTRACIÓN Y FINANZAS;GERENCIA DE ADMINISTRACIÓN Y FINANZAS;NULL;1074;Admin-02;Avatec;Generico;Core i7-4790;NO;8GB;NULL;500GB;NO;1073;4W7X2D2;1077;NULL
27;21/07/2022;Palacio 3P;GERENCIA DE ADMINISTRACIÓN Y FINANZAS;GERENCIA DE ADMINISTRACIÓN Y FINANZAS;NULL;1068;Admin-04;Dataone;Generico;Amd A4-4000;NO;8GB;NULL;500GB;NO;1070;ADVAN14V0401116;1037;XP18S9108774
