"Nombre del Producto,Producto,Almacén,Cant_en Almacén,Cant_reservada,Cantidad_Disponible",
"TONER XEROX P320/315/WC420/415 (CAJAX2) 6K C/U 006R01044,006R01044 - TONER XEROX P320/315/WC420/415 (CAJAX2) 6K C/U 006R01044 -  - ,ALMCHICLAYO - Almacen Chiclayo,0,0,0",
"TONER XEROX WC 4118/FC 2218 (8K) 006R01278,006R01278 - TONER XEROX WC 4118/FC 2218 (8K) 006R01278 -  - ,ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,1,0,1",
"TONER ORIGINAL I-AICON P/XEROX WC 7120 BLACK 22K 006R01461IAC,006R01461IAC - TONER ORIGINAL I-AICON P/XEROX WC 7120 BLACK 22K 006R01461IAC -  - ,ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,3,0,3",
"TONER ORIGINAL I-AICON P/XEROX WC 7120 YELLOW 15K 006R01462IAC,006R01462IAC - TONER ORIGINAL I-AICON P/XEROX WC 7120 YELLOW 15K 006R01462IAC -  - ,ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,3,0,3",
"TONER ORIGINAL I-AICON P/XEROX WC 7120 MAGENTA 15K 006R01463IAC,006R01463IAC - TONER ORIGINAL I-AICON P/XEROX WC 7120 MAGENTA 15K 006R01463IAC -  - ,ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,3,0,3",
"TONER ORIGINAL I-AICON P/XEROX WC 7120 CYAN 15K 006R01464IAC,006R01464IAC - TONER ORIGINAL I-AICON P/XEROX WC 7120 CYAN 15K 006R01464IAC -  - ,ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,3,0,3",
"TONER XEROX WORKCENTER 5021 9,000 PAGINAS 006R01573,""006R01573 - TONER XEROX WORKCENTER 5021 9,000 PAGINAS 006R01573 -  - "",ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,0,0,0",
"TONER XEROX WORKCENTER 5021 9,000 PAGINAS 006R01573,""006R01573 - TONER XEROX WORKCENTER 5021 9,000 PAGINAS 006R01573 -  - "",STORELIMA - TIENDA LIMA,0,0,0",
"DRUM ORIGINAL I-AICON P/NEGRO XEROX WC 5300 (96,000 Paginas) 013R00591AC,""013R00591AC - DRUM ORIGINAL I-AICON P/NEGRO XEROX WC 5300 (96,000 Paginas) 013R00591AC -  - "",ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,4,0,4",
"TONER COMPATIBLE  XEROX WC 3119(3K) 013R00625C,013R00625C - TONER COMPATIBLE  XEROX WC 3119(3K) 013R00625C -  - ,ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,2,0,2",
"TONER COMPATIBLE  XEROX WC 3119(3K) 013R00625C,013R00625C - TONER COMPATIBLE  XEROX WC 3119(3K) 013R00625C -  - ,ALMPIURA - Almacen Piura,0,0,0",
"DRUM ORIGINAL I-AICON P/XEROX WC 7120 BLACK (67) 013R00657IAC,013R00657IAC - DRUM ORIGINAL I-AICON P/XEROX WC 7120 BLACK (67) 013R00657IAC -  - ,ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,3,0,3",
"DRUM ORIGINAL I-AICON P/XEROX WC 7120 YELLOW (51,K) 013R00658IAC,""013R00658IAC - DRUM ORIGINAL I-AICON P/XEROX WC 7120 YELLOW (51,K) 013R00658IAC -  - "",ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,3,0,3",
"DRUM ORIGINAL I-AICON P/XEROX WC 7120 MAGENTA (51,K) 013R00659IAC,""013R00659IAC - DRUM ORIGINAL I-AICON P/XEROX WC 7120 MAGENTA (51,K) 013R00659IAC -  - "",ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,3,0,3",
"DRUM ORIGINAL I-AICON P/ XEROX WC 7120 CYAN (51,K) 013R00660IAC,""013R00660IAC - DRUM ORIGINAL I-AICON P/ XEROX WC 7120 CYAN (51,K) 013R00660IAC -  - "",ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,3,0,3",
"ROLLER PICKUP TRAY 1 MP  ORIGINAL WORKCENTRE 3315/3325/3335/3345,022N02677 - ROLLER PICKUP TRAY 1 MP  ORIGINAL WORKCENTRE 3315/3325/3335/3345 -  - ,ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,0,0,0",
"DRUM  COMPATIBLE NUEVO XEROX PHASER 3052/3260 / WC 3215/3225 BLACK (10K) ,101R00474C - DRUM  COMPATIBLE NUEVO XEROX PHASER 3052/3260 / WC 3215/3225 BLACK (10K)  -  - ,ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,0,0,0",
"DRUM  COMPATIBLE NUEVO PRINSTYLE P/ XEROX PHASER 3052/3260 / WC 3215/3225 BLACK (10,000 Páginas) Con ISO de Rendimiento 19752,""101R00474P04 - DRUM  COMPATIBLE NUEVO PRINSTYLE P/ XEROX PHASER 3052/3260 / WC 3215/3225 BLACK (10,000 Páginas) Con ISO de Rendimiento 19752 -  - "",ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,8,0,8",
"DRUM  COMPATIBLE NUEVO PRINSTYLE P/ XEROX PHASER 3052/3260 / WC 3215/3225 BLACK (10,000 Páginas) Con ISO de Rendimiento 19752,""101R00474P04 - DRUM  COMPATIBLE NUEVO PRINSTYLE P/ XEROX PHASER 3052/3260 / WC 3215/3225 BLACK (10,000 Páginas) Con ISO de Rendimiento 19752 -  - "",STORELIMA - TIENDA LIMA,0,0,0",
"UNIDAD DE IMAGEN COMPATIBLE NUEVO PRINSTYLE P/ XEROX PHASER 3052/3260 / WC 3215/3225 BLACK (10,000 Páginas) Con ISO de Rendimiento 19752,""101R00474P05 - UNIDAD DE IMAGEN COMPATIBLE NUEVO PRINSTYLE P/ XEROX PHASER 3052/3260 / WC 3215/3225 BLACK (10,000 Páginas) Con ISO de Rendimiento 19752 -  - "",ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,22,0,22",
"UNIDAD DE IMAGEN COMPATIBLE NUEVO PRINSTYLE P/ XEROX PHASER 3052/3260 / WC 3215/3225 BLACK (10,000 Páginas) Con ISO de Rendimiento 19752,""101R00474P06 - UNIDAD DE IMAGEN COMPATIBLE NUEVO PRINSTYLE P/ XEROX PHASER 3052/3260 / WC 3215/3225 BLACK (10,000 Páginas) Con ISO de Rendimiento 19752 -  - "",ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,2,0,2",
"TAMBOR ORIGINAL XEROX 101R00554 B400/B405 65,000 PAGINAS DE RENDIMIENTO,""101R00554 - TAMBOR ORIGINAL XEROX 101R00554 B400/B405 65,000 PAGINAS DE RENDIMIENTO -  - "",ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,0,0,0",
"TAMBOR COMPATIBLE NUEVO P/ XEROX 101R00554 B400/B405 65,000 PAGINAS DE RENDIMIENTO,""101R00554C - TAMBOR COMPATIBLE NUEVO P/ XEROX 101R00554 B400/B405 65,000 PAGINAS DE RENDIMIENTO -  - "",ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,0,0,0",
"Tambor de imagen COMPATIBLE NUEVO P/ Xerox 3345 Impresora Láser - Negro - 30000,101R00555C - Tambor de imagen COMPATIBLE NUEVO P/ Xerox 3345 Impresora Láser - Negro - 30000 -  - ,ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,0,0,0",
"DRUMS DE IMAGEN COMPATIBLE NUEVO PRINSTYLE P/ Xerox 3345 Impresora Láser - Negro - 30,000 Páginas Con ISO de Rendimiento 19752,""101R00555P04 - DRUMS DE IMAGEN COMPATIBLE NUEVO PRINSTYLE P/ Xerox 3345 Impresora Láser - Negro - 30,000 Páginas Con ISO de Rendimiento 19752 -  - "",ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,0,0,0",
"DRUMS DE IMAGEN COMPATIBLE NUEVO PRINSTYLE P/ Xerox 3345 Impresora Láser - Negro - 30,000 Páginas Con ISO de Rendimiento 19752,""101R00555P04 - DRUMS DE IMAGEN COMPATIBLE NUEVO PRINSTYLE P/ Xerox 3345 Impresora Láser - Negro - 30,000 Páginas Con ISO de Rendimiento 19752 -  - "",STORELIMA - TIENDA LIMA,0,0,0",
"UNIDAD DE IMAGEN COMPATIBLE NUEVO Prinstyle P/ Xerox 3345 Impresora Láser - Negro - 30,000 Páginas Con ISO de Rendimiento 19752,""101R00555P05 - UNIDAD DE IMAGEN COMPATIBLE NUEVO Prinstyle P/ Xerox 3345 Impresora Láser - Negro - 30,000 Páginas Con ISO de Rendimiento 19752 -  - "",ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,0,0,0",
"UNIDAD DE IMAGEN COMPATIBLE NUEVO PRINSTYLE P/ Xerox 3345 Impresora Láser - Negro - 30,000 Páginas Con ISO de Rendimiento 19752,""101R00555P06 - UNIDAD DE IMAGEN COMPATIBLE NUEVO PRINSTYLE P/ Xerox 3345 Impresora Láser - Negro - 30,000 Páginas Con ISO de Rendimiento 19752 -  - "",ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,0,0,0",
"UNIDAD DE IMAGEN COMPATIBLE NUEVO PRINSTYLE P/ Xerox 3345 Impresora Láser - Negro - 30,000 Páginas Con ISO de Rendimiento 19752,""101R00555P06 - UNIDAD DE IMAGEN COMPATIBLE NUEVO PRINSTYLE P/ Xerox 3345 Impresora Láser - Negro - 30,000 Páginas Con ISO de Rendimiento 19752 -  - "",ALMATRUJILLO - ALMACEN TRUJILLO,0,0,0",
"TAMBOR ORIGINAL XEROX P/Impresora Láser B202- B210- B215 Negro - 10,000 Paginas ,""101R00664 - TAMBOR ORIGINAL XEROX P/Impresora Láser B202- B210- B215 Negro - 10,000 Paginas  -  - "",ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,0,0,0",
"TAMBOR COMPATIBLE XEROX P/IMPRESORA LÁSER B202- B210- B215 NEGRO - 10,000 PAGINAS,""101R00664CJ - TAMBOR COMPATIBLE XEROX P/IMPRESORA LÁSER B202- B210- B215 NEGRO - 10,000 PAGINAS -  - "",ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,0,0,0",
"TAMBOR COMPATIBLE XEROX P/IMPRESORA LÁSER B202- B210- B215 NEGRO - 10,000 PAGINAS,""101R00664CPM - TAMBOR COMPATIBLE XEROX P/IMPRESORA LÁSER B202- B210- B215 NEGRO - 10,000 PAGINAS -  - "",ALMACEN PRINCIPAL-LIMA - Almacen PRINCIPAL-LIMA,0,0,0",
